cycleCount,maxClientsInQueue,maxClientWaitTime,meanClientWaitTime,totalClientsServed,totalWaitTime,totalUsageTime,averageServiceTimePerClient,max-clien,min-client,max-server,min-server,initial number of simulated clients,number of simulated servers,distribution for all services time,distribution for i-nth services time,distribution for client arrival time,duration
522,113,4,1.25,44,55,540.0,11.022727272727272,9,7,15,8,4,1,uniform,exponential,exponential,10
565,1,0,0.0,57,0,286.0,5.017543859649122,10,9,7,4,1,7,normal,normal,uniform,10
563,125,8,1.37,100,137,1170.0,10.33,3,2,20,1,4,2,poisson,poisson,exponential,10
521,1,0,0.0,80,0,876.0,10.95,6,6,18,4,6,6,poisson,normal,normal,10
601,77,11,2.386138613861386,101,241,1357.0,11.049504950495049,4,2,20,3,9,2,normal,poisson,exponential,10
557,1,1,0.010204081632653,98,1,1302.0,13.275510204081632,6,4,19,6,6,6,poisson,normal,poisson,10
614,1,0,0.0,91,0,481.8456808490756,5.295007481857973,9,4,16,11,3,5,exponential,uniform,uniform,10
635,1,0,0.0,64,0,518.0,8.09375,9,9,12,5,0,9,poisson,uniform,poisson,10
611,69,24,4.833333333333333,42,203,757.411671203559,13.200277885799023,7,2,17,1,7,1,exponential,poisson,exponential,10
601,1,2,0.0196078431372549,204,4,2203.0,10.779411764705882,2,2,15,8,2,6,uniform,exponential,poisson,10
570,1,1,0.0068493150684931,292,2,1887.0,6.455479452054795,1,1,10,4,8,9,normal,poisson,normal,10
579,1,0,0.0,99,0,455.0,4.595959595959596,6,4,7,3,2,9,uniform,poisson,poisson,10
584,1,0,0.0,82,0,1009.0,12.304878048780488,9,3,14,11,2,6,poisson,poisson,poisson,10
569,134,2,0.9649122807017544,57,55,567.0,8.982456140350877,2,2,10,8,2,1,poisson,uniform,normal,10
633,1,0,0.0,209,0,3763.0,18.004784688995215,3,1,18,18,2,10,poisson,exponential,poisson,10
615,6,26,0.9272727272727272,110,102,1366.0,11.49090909090909,6,2,16,8,10,5,uniform,exponential,exponential,10
4,3,0,0.0,9,0,118,13.11111111111111,1,1,15,12,10,9,normal,exponential,poisson,10
126,1,0,0.0,58,0,302,5.206896551724138,2,1,7,4,5,8,uniform,"['poisson', 'uniform', 'normal', 'normal', 'poisson', 'normal', 'uniform', 'poisson']",poisson,6
126,63,5,0.29850746268656714,67,20,1002,14.656716417910447,1,1,20,11,4,8,uniform,"['uniform', 'normal', 'uniform', 'exponential', 'uniform', 'exponential', 'uniform', 'uniform']",exponential,8
